season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2022-2023,Chelsea 2022 2023,2022-08-06,Premier League,Everton,2022-08-06_premier_league_everton_goalkeeper_stats.csv,3a917cee,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,2022-08-06,Premier League,Matchweek 1,Away,Everton,W,2022-08-06_premier_league_everton,Chelsea,Edouard Mendy,sn SEN,30-158,90,3,0,3,100.0
2022-2023,Chelsea 2022 2023,2022-08-14,Premier League,Tottenham Hotspur,2022-08-14_premier_league_tottenham_hotspur_goalkeeper_stats.csv,01e57bf5,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,2022-08-14,Premier League,Matchweek 2,Home,Tottenham Hotspur,D,2022-08-14_premier_league_tottenham_hotspur,Chelsea,Edouard Mendy,sn SEN,30-166,90,5,2,3,60.0
2022-2023,Chelsea 2022 2023,2022-08-21,Premier League,Leeds United,2022-08-21_premier_league_leeds_united_goalkeeper_stats.csv,a5632124,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,2022-08-21,Premier League,Matchweek 3,Away,Leeds United,L,2022-08-21_premier_league_leeds_united,Chelsea,Edouard Mendy,sn SEN,30-173,90,6,3,3,50.0
2022-2023,Chelsea 2022 2023,2022-08-27,Premier League,Leicester City,2022-08-27_premier_league_leicester_city_goalkeeper_stats.csv,b737a3a7,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,2022-08-27,Premier League,Matchweek 4,Home,Leicester City,W,2022-08-27_premier_league_leicester_city,Chelsea,Edouard Mendy,sn SEN,30-179,90,5,1,4,80.0
2022-2023,Chelsea 2022 2023,2022-08-30,Premier League,Southampton,2022-08-30_premier_league_southampton_goalkeeper_stats.csv,afd303a8,https://fbref.com/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,2022-08-30,Premier League,Matchweek 5,Away,Southampton,L,2022-08-30_premier_league_southampton,Chelsea,Edouard Mendy,sn SEN,30-182,90,5,2,3,60.0
2022-2023,Chelsea 2022 2023,2022-09-03,Premier League,West Ham United,2022-09-03_premier_league_west_ham_united_goalkeeper_stats.csv,d7642197,https://fbref.com/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,2022-09-03,Premier League,Matchweek 6,Home,West Ham United,W,2022-09-03_premier_league_west_ham_united,Chelsea,Edouard Mendy,sn SEN,30-186,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-09-06,Champions Lg,Hrdinamo Zagreb,2022-09-06_champions_lg_hrdinamo_zagreb_goalkeeper_stats.csv,07f058d4,https://fbref.com/en/matches/07f058d4/Dinamo-Zagreb-Chelsea-September-6-2022-Champions-League,2022-09-06,Champions Lg,Group stage,Away,hrDinamo Zagreb,L,2022-09-06_champions_lg_hrdinamo_zagreb,Chelsea,Kepa Arrizabalaga,es ESP,27-338,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-09-14,Champions Lg,Atrb Salzburg,2022-09-14_champions_lg_atrb_salzburg_goalkeeper_stats.csv,c36141e9,https://fbref.com/en/matches/c36141e9/Chelsea-Red-Bull-Salzburg-September-14-2022-Champions-League,2022-09-14,Champions Lg,Group stage,Home,atRB Salzburg,D,2022-09-14_champions_lg_atrb_salzburg,Chelsea,Kepa Arrizabalaga,es ESP,27-346,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-10-01,Premier League,Crystal Palace,2022-10-01_premier_league_crystal_palace_goalkeeper_stats.csv,372249f3,https://fbref.com/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League,2022-10-01,Premier League,Matchweek 9,Away,Crystal Palace,W,2022-10-01_premier_league_crystal_palace,Chelsea,Kepa Arrizabalaga,es ESP,27-363,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-10-05,Champions Lg,Itmilan,2022-10-05_champions_lg_itmilan_goalkeeper_stats.csv,012a9877,https://fbref.com/en/matches/012a9877/Chelsea-Milan-October-5-2022-Champions-League,2022-10-05,Champions Lg,Group stage,Home,itMilan,W,2022-10-05_champions_lg_itmilan,Chelsea,Kepa Arrizabalaga,es ESP,28-002,90,1,0,1,100.0
2022-2023,Chelsea 2022 2023,2022-10-08,Premier League,Wolves,2022-10-08_premier_league_wolves_goalkeeper_stats.csv,c83cb314,https://fbref.com/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League,2022-10-08,Premier League,Matchweek 10,Home,Wolves,W,2022-10-08_premier_league_wolves,Chelsea,Kepa Arrizabalaga,es ESP,28-005,90,2,0,2,100.0
2022-2023,Chelsea 2022 2023,2022-10-11,Champions Lg,Itmilan,2022-10-11_champions_lg_itmilan_goalkeeper_stats.csv,c4c72cb6,https://fbref.com/en/matches/c4c72cb6/Milan-Chelsea-October-11-2022-Champions-League,2022-10-11,Champions Lg,Group stage,Away,itMilan,W,2022-10-11_champions_lg_itmilan,Chelsea,Kepa Arrizabalaga,es ESP,28-008,90,1,0,1,100.0
2022-2023,Chelsea 2022 2023,2022-10-16,Premier League,Aston Villa,2022-10-16_premier_league_aston_villa_goalkeeper_stats.csv,7113ce7f,https://fbref.com/en/matches/7113ce7f/Aston-Villa-Chelsea-October-16-2022-Premier-League,2022-10-16,Premier League,Matchweek 11,Away,Aston Villa,W,2022-10-16_premier_league_aston_villa,Chelsea,Kepa Arrizabalaga,es ESP,28-013,90,7,0,7,100.0
2022-2023,Chelsea 2022 2023,2022-10-19,Premier League,Brentford,2022-10-19_premier_league_brentford_goalkeeper_stats.csv,b7a32aeb,https://fbref.com/en/matches/b7a32aeb/Brentford-Chelsea-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Away,Brentford,D,2022-10-19_premier_league_brentford,Chelsea,Kepa Arrizabalaga,es ESP,28-016,90,5,0,5,100.0
2022-2023,Chelsea 2022 2023,2022-10-22,Premier League,Manchester Utd,2022-10-22_premier_league_manchester_utd_goalkeeper_stats.csv,7ad85c8a,https://fbref.com/en/matches/7ad85c8a/Chelsea-Manchester-United-October-22-2022-Premier-League,2022-10-22,Premier League,Matchweek 13,Home,Manchester Utd,D,2022-10-22_premier_league_manchester_utd,Chelsea,Kepa Arrizabalaga,es ESP,28-019,90,6,1,5,83.3
2022-2023,Chelsea 2022 2023,2022-10-25,Champions Lg,Atrb Salzburg,2022-10-25_champions_lg_atrb_salzburg_goalkeeper_stats.csv,e8dbb123,https://fbref.com/en/matches/e8dbb123/Red-Bull-Salzburg-Chelsea-October-25-2022-Champions-League,2022-10-25,Champions Lg,Group stage,Away,atRB Salzburg,W,2022-10-25_champions_lg_atrb_salzburg,Chelsea,Kepa Arrizabalaga,es ESP,28-022,90,6,1,5,83.3
2022-2023,Chelsea 2022 2023,2022-10-29,Premier League,Brighton,2022-10-29_premier_league_brighton_goalkeeper_stats.csv,ac6abad1,https://fbref.com/en/matches/ac6abad1/Brighton-and-Hove-Albion-Chelsea-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Brighton,L,2022-10-29_premier_league_brighton,Chelsea,Kepa Arrizabalaga,es ESP,28-026,45,4,3,1,25.0
2022-2023,Chelsea 2022 2023,2022-10-29,Premier League,Brighton,2022-10-29_premier_league_brighton_goalkeeper_stats.csv,ac6abad1,https://fbref.com/en/matches/ac6abad1/Brighton-and-Hove-Albion-Chelsea-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Brighton,L,2022-10-29_premier_league_brighton,Chelsea,Edouard Mendy,sn SEN,30-242,45,5,1,4,80.0
2022-2023,Chelsea 2022 2023,2022-11-02,Champions Lg,Hrdinamo Zagreb,2022-11-02_champions_lg_hrdinamo_zagreb_goalkeeper_stats.csv,eb2990f8,https://fbref.com/en/matches/eb2990f8/Chelsea-Dinamo-Zagreb-November-2-2022-Champions-League,2022-11-02,Champions Lg,Group stage,Home,hrDinamo Zagreb,W,2022-11-02_champions_lg_hrdinamo_zagreb,Chelsea,Edouard Mendy,sn SEN,30-246,90,2,1,1,50.0
2022-2023,Chelsea 2022 2023,2022-11-06,Premier League,Arsenal,2022-11-06_premier_league_arsenal_goalkeeper_stats.csv,af9dc838,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Arsenal,L,2022-11-06_premier_league_arsenal,Chelsea,Edouard Mendy,sn SEN,30-250,90,2,1,1,50.0
2022-2023,Chelsea 2022 2023,2022-11-09,Efl Cup,Manchester City,2022-11-09_efl_cup_manchester_city_goalkeeper_stats.csv,828fe798,https://fbref.com/en/matches/828fe798/Manchester-City-Chelsea-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Manchester City,L,2022-11-09_efl_cup_manchester_city,Chelsea,Edouard Mendy,sn SEN,30-253,90,9,2,7,77.8
2022-2023,Chelsea 2022 2023,2022-11-12,Premier League,Newcastle United,2022-11-12_premier_league_newcastle_united_goalkeeper_stats.csv,e1b3eb1b,https://fbref.com/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League,2022-11-12,Premier League,Matchweek 16,Away,Newcastle United,L,2022-11-12_premier_league_newcastle_united,Chelsea,Edouard Mendy,sn SEN,30-256,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2022-12-27,Premier League,Bournemouth,2022-12-27_premier_league_bournemouth_goalkeeper_stats.csv,d55b9033,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,2022-12-27,Premier League,Matchweek 17,Home,Bournemouth,W,2022-12-27_premier_league_bournemouth,Chelsea,Kepa Arrizabalaga,es ESP,28-085,90,4,0,4,100.0
2022-2023,Chelsea 2022 2023,2023-01-01,Premier League,Nottingham Forest,2023-01-01_premier_league_nottingham_forest_goalkeeper_stats.csv,c31cf944,https://fbref.com/en/matches/c31cf944/Nottingham-Forest-Chelsea-January-1-2023-Premier-League,2023-01-01,Premier League,Matchweek 18,Away,Nottingham Forest,D,2023-01-01_premier_league_nottingham_forest,Chelsea,Kepa Arrizabalaga,es ESP,28-090,90,5,1,4,80.0
2022-2023,Chelsea 2022 2023,2023-01-05,Premier League,Manchester City,2023-01-05_premier_league_manchester_city_goalkeeper_stats.csv,eacda90c,https://fbref.com/en/matches/eacda90c/Chelsea-Manchester-City-January-5-2023-Premier-League,2023-01-05,Premier League,Matchweek 19,Home,Manchester City,L,2023-01-05_premier_league_manchester_city,Chelsea,Kepa Arrizabalaga,es ESP,28-094,90,3,1,2,66.7
2022-2023,Chelsea 2022 2023,2023-01-08,Fa Cup,Manchester City,2023-01-08_fa_cup_manchester_city_goalkeeper_stats.csv,b7265ef7,https://fbref.com/en/matches/b7265ef7/Manchester-City-Chelsea-January-8-2023-FA-Cup,2023-01-08,FA Cup,Third round proper,Away,Manchester City,L,2023-01-08_fa_cup_manchester_city,Chelsea,Kepa Arrizabalaga,es ESP,28-097,90,5,4,3,60.0
2022-2023,Chelsea 2022 2023,2023-01-12,Premier League,Fulham,2023-01-12_premier_league_fulham_goalkeeper_stats.csv,2902a42d,https://fbref.com/en/matches/2902a42d/Fulham-Chelsea-January-12-2023-Premier-League,2023-01-12,Premier League,Matchweek 7,Away,Fulham,L,2023-01-12_premier_league_fulham,Chelsea,Kepa Arrizabalaga,es ESP,28-101,90,3,2,1,33.3
2022-2023,Chelsea 2022 2023,2023-01-15,Premier League,Crystal Palace,2023-01-15_premier_league_crystal_palace_goalkeeper_stats.csv,564d2893,https://fbref.com/en/matches/564d2893/Chelsea-Crystal-Palace-January-15-2023-Premier-League,2023-01-15,Premier League,Matchweek 20,Home,Crystal Palace,W,2023-01-15_premier_league_crystal_palace,Chelsea,Kepa Arrizabalaga,es ESP,28-104,90,5,0,5,100.0
2022-2023,Chelsea 2022 2023,2023-01-21,Premier League,Liverpool,2023-01-21_premier_league_liverpool_goalkeeper_stats.csv,7febc290,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,2023-01-21,Premier League,Matchweek 21,Away,Liverpool,D,2023-01-21_premier_league_liverpool,Chelsea,Kepa Arrizabalaga,es ESP,28-110,90,3,0,3,100.0
2022-2023,Chelsea 2022 2023,2023-02-03,Premier League,Fulham,2023-02-03_premier_league_fulham_goalkeeper_stats.csv,c3cf244b,https://fbref.com/en/matches/c3cf244b/Chelsea-Fulham-February-3-2023-Premier-League,2023-02-03,Premier League,Matchweek 22,Home,Fulham,D,2023-02-03_premier_league_fulham,Chelsea,Kepa Arrizabalaga,es ESP,28-123,90,4,0,4,100.0
2022-2023,Chelsea 2022 2023,2023-02-11,Premier League,West Ham United,2023-02-11_premier_league_west_ham_united_goalkeeper_stats.csv,18dea268,https://fbref.com/en/matches/18dea268/West-Ham-United-Chelsea-February-11-2023-Premier-League,2023-02-11,Premier League,Matchweek 23,Away,West Ham United,D,2023-02-11_premier_league_west_ham_united,Chelsea,Kepa Arrizabalaga,es ESP,28-131,90,2,1,1,50.0
2022-2023,Chelsea 2022 2023,2023-02-15,Champions Lg,Dedortmund,2023-02-15_champions_lg_dedortmund_goalkeeper_stats.csv,c9372f54,https://fbref.com/en/matches/c9372f54/Dortmund-Chelsea-February-15-2023-Champions-League,2023-02-15,Champions Lg,Round of 16,Away,deDortmund,L,2023-02-15_champions_lg_dedortmund,Chelsea,Kepa Arrizabalaga,es ESP,28-135,90,2,1,1,50.0
2022-2023,Chelsea 2022 2023,2023-02-18,Premier League,Southampton,2023-02-18_premier_league_southampton_goalkeeper_stats.csv,8d750d5d,https://fbref.com/en/matches/8d750d5d/Chelsea-Southampton-February-18-2023-Premier-League,2023-02-18,Premier League,Matchweek 24,Home,Southampton,L,2023-02-18_premier_league_southampton,Chelsea,Kepa Arrizabalaga,es ESP,28-138,90,4,1,3,75.0
2022-2023,Chelsea 2022 2023,2023-02-26,Premier League,Tottenham Hotspur,2023-02-26_premier_league_tottenham_hotspur_goalkeeper_stats.csv,8eff71b5,https://fbref.com/en/matches/8eff71b5/Tottenham-Hotspur-Chelsea-February-26-2023-Premier-League,2023-02-26,Premier League,Matchweek 25,Away,Tottenham Hotspur,L,2023-02-26_premier_league_tottenham_hotspur,Chelsea,Kepa Arrizabalaga,es ESP,28-146,90,3,2,1,33.3
2022-2023,Chelsea 2022 2023,2023-03-04,Premier League,Leeds United,2023-03-04_premier_league_leeds_united_goalkeeper_stats.csv,59f9a78f,https://fbref.com/en/matches/59f9a78f/Chelsea-Leeds-United-March-4-2023-Premier-League,2023-03-04,Premier League,Matchweek 26,Home,Leeds United,W,2023-03-04_premier_league_leeds_united,Chelsea,Kepa Arrizabalaga,es ESP,28-152,90,2,0,2,100.0
2022-2023,Chelsea 2022 2023,2023-03-07,Champions Lg,Dedortmund,2023-03-07_champions_lg_dedortmund_goalkeeper_stats.csv,5f7f5b34,https://fbref.com/en/matches/5f7f5b34/Chelsea-Dortmund-March-7-2023-Champions-League,2023-03-07,Champions Lg,Round of 16,Home,deDortmund,W,2023-03-07_champions_lg_dedortmund,Chelsea,Kepa Arrizabalaga,es ESP,28-155,90,4,0,4,100.0
2022-2023,Chelsea 2022 2023,2023-03-11,Premier League,Leicester City,2023-03-11_premier_league_leicester_city_goalkeeper_stats.csv,bd5571a1,https://fbref.com/en/matches/bd5571a1/Leicester-City-Chelsea-March-11-2023-Premier-League,2023-03-11,Premier League,Matchweek 27,Away,Leicester City,W,2023-03-11_premier_league_leicester_city,Chelsea,Kepa Arrizabalaga,es ESP,28-159,90,6,1,5,83.3
2022-2023,Chelsea 2022 2023,2023-03-18,Premier League,Everton,2023-03-18_premier_league_everton_goalkeeper_stats.csv,9453dba7,https://fbref.com/en/matches/9453dba7/Chelsea-Everton-March-18-2023-Premier-League,2023-03-18,Premier League,Matchweek 28,Home,Everton,D,2023-03-18_premier_league_everton,Chelsea,Kepa Arrizabalaga,es ESP,28-166,90,3,2,1,33.3
2022-2023,Chelsea 2022 2023,2023-04-01,Premier League,Aston Villa,2023-04-01_premier_league_aston_villa_goalkeeper_stats.csv,870fa8c9,https://fbref.com/en/matches/870fa8c9/Chelsea-Aston-Villa-April-1-2023-Premier-League,2023-04-01,Premier League,Matchweek 29,Home,Aston Villa,L,2023-04-01_premier_league_aston_villa,Chelsea,Kepa Arrizabalaga,es ESP,28-180,90,2,2,0,0.0
2022-2023,Chelsea 2022 2023,2023-04-04,Premier League,Liverpool,2023-04-04_premier_league_liverpool_goalkeeper_stats.csv,inf,https://fbref.com/en/matches/1028e683/Chelsea-Liverpool-April-4-2023-Premier-League,2023-04-04,Premier League,Matchweek 8,Home,Liverpool,D,2023-04-04_premier_league_liverpool,Chelsea,Kepa Arrizabalaga,es ESP,28-183,90,3,0,3,100.0
2022-2023,Chelsea 2022 2023,2023-04-08,Premier League,Wolves,2023-04-08_premier_league_wolves_goalkeeper_stats.csv,aa1fa8dc,https://fbref.com/en/matches/aa1fa8dc/Wolverhampton-Wanderers-Chelsea-April-8-2023-Premier-League,2023-04-08,Premier League,Matchweek 30,Away,Wolves,L,2023-04-08_premier_league_wolves,Chelsea,Kepa Arrizabalaga,es ESP,28-187,90,4,1,3,75.0
2022-2023,Chelsea 2022 2023,2023-04-12,Champions Lg,Esreal Madrid,2023-04-12_champions_lg_esreal_madrid_goalkeeper_stats.csv,0e7d4ede,https://fbref.com/en/matches/0e7d4ede/Real-Madrid-Chelsea-April-12-2023-Champions-League,2023-04-12,Champions Lg,Quarter-finals,Away,esReal Madrid,L,2023-04-12_champions_lg_esreal_madrid,Chelsea,Kepa Arrizabalaga,es ESP,28-191,90,10,2,8,80.0
2022-2023,Chelsea 2022 2023,2023-04-15,Premier League,Brighton,2023-04-15_premier_league_brighton_goalkeeper_stats.csv,18e7d354,https://fbref.com/en/matches/18e7d354/Chelsea-Brighton-and-Hove-Albion-April-15-2023-Premier-League,2023-04-15,Premier League,Matchweek 31,Home,Brighton,L,2023-04-15_premier_league_brighton,Chelsea,Kepa Arrizabalaga,es ESP,28-194,90,11,2,9,81.8
2022-2023,Chelsea 2022 2023,2023-04-18,Champions Lg,Esreal Madrid,2023-04-18_champions_lg_esreal_madrid_goalkeeper_stats.csv,aac9025a,https://fbref.com/en/matches/aac9025a/Chelsea-Real-Madrid-April-18-2023-Champions-League,2023-04-18,Champions Lg,Quarter-finals,Home,esReal Madrid,L,2023-04-18_champions_lg_esreal_madrid,Chelsea,Kepa Arrizabalaga,es ESP,28-197,90,6,2,4,66.7
2022-2023,Chelsea 2022 2023,2023-04-26,Premier League,Brentford,2023-04-26_premier_league_brentford_goalkeeper_stats.csv,071b5820,https://fbref.com/en/matches/071b5820/Chelsea-Brentford-April-26-2023-Premier-League,2023-04-26,Premier League,Matchweek 33,Home,Brentford,L,2023-04-26_premier_league_brentford,Chelsea,Kepa Arrizabalaga,es ESP,28-205,90,2,2,0,0.0
2022-2023,Chelsea 2022 2023,2023-05-02,Premier League,Arsenal,2023-05-02_premier_league_arsenal_goalkeeper_stats.csv,2d551ff5,https://fbref.com/en/matches/2d551ff5/North-West-London-Derby-Arsenal-Chelsea-May-2-2023-Premier-League,2023-05-02,Premier League,Matchweek 34,Away,Arsenal,L,2023-05-02_premier_league_arsenal,Chelsea,Kepa Arrizabalaga,es ESP,28-211,90,9,3,6,66.7
2022-2023,Chelsea 2022 2023,2023-05-06,Premier League,Bournemouth,2023-05-06_premier_league_bournemouth_goalkeeper_stats.csv,6116824f,https://fbref.com/en/matches/6116824f/Bournemouth-Chelsea-May-6-2023-Premier-League,2023-05-06,Premier League,Matchweek 35,Away,Bournemouth,W,2023-05-06_premier_league_bournemouth,Chelsea,Kepa Arrizabalaga,es ESP,28-215,90,4,1,3,75.0
2022-2023,Chelsea 2022 2023,2023-05-13,Premier League,Nottingham Forest,2023-05-13_premier_league_nottingham_forest_goalkeeper_stats.csv,96ab0b45,https://fbref.com/en/matches/96ab0b45/Chelsea-Nottingham-Forest-May-13-2023-Premier-League,2023-05-13,Premier League,Matchweek 36,Home,Nottingham Forest,D,2023-05-13_premier_league_nottingham_forest,Chelsea,Edouard Mendy,sn SEN,31-073,90,2,2,0,0.0
2022-2023,Chelsea 2022 2023,2023-05-21,Premier League,Manchester City,2023-05-21_premier_league_manchester_city_goalkeeper_stats.csv,589e447b,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,2023-05-21,Premier League,Matchweek 37,Away,Manchester City,L,2023-05-21_premier_league_manchester_city,Chelsea,Kepa Arrizabalaga,es ESP,28-230,90,2,1,1,50.0
2022-2023,Chelsea 2022 2023,2023-05-25,Premier League,Manchester Utd,2023-05-25_premier_league_manchester_utd_goalkeeper_stats.csv,d2f2263d,https://fbref.com/en/matches/d2f2263d/Manchester-United-Chelsea-May-25-2023-Premier-League,2023-05-25,Premier League,Matchweek 32,Away,Manchester Utd,L,2023-05-25_premier_league_manchester_utd,Chelsea,Kepa Arrizabalaga,es ESP,28-234,90,8,4,5,62.5
2022-2023,Chelsea 2022 2023,2023-05-28,Premier League,Newcastle United,2023-05-28_premier_league_newcastle_united_goalkeeper_stats.csv,4f7b1a0d,https://fbref.com/en/matches/4f7b1a0d/Chelsea-Newcastle-United-May-28-2023-Premier-League,2023-05-28,Premier League,Matchweek 38,Home,Newcastle United,D,2023-05-28_premier_league_newcastle_united,Chelsea,Kepa Arrizabalaga,es ESP,28-237,90,4,1,3,75.0
