team,appearances,minutesPlayed,tackles,interceptions,ballRecovery,groundDuelsWon,keyPasses,bigChancesCreated,accurateLongBalls,successfulDribbles,rating
Borussia Dortmund,4,315,0,0,29,2,0,0,16,0,7.83
FC Bayern München,3,270,0,0,16,0,0,0,24,0,7.57
FC Porto,8,720,0,0,66,1,1,1,86,0,7.53
Milan,5,450,0,0,40,1,0,0,41,0,7.48
FC København,4,360,0,0,29,0,0,0,24,0,7.43
Club Brugge KV,8,720,0,1,66,0,0,0,97,0,7.41
Inter,13,1170,0,0,114,3,0,0,116,0,7.41
FC Barcelona,1,90,0,0,7,0,0,0,2,0,7.4
Sevilla,2,180,0,0,12,0,0,0,8,0,7.4
Real Madrid,10,900,1,0,85,1,0,0,41,0,7.34
FC Bayern München,3,270,0,0,19,0,0,0,8,0,7.33
Manchester City,11,990,0,0,67,2,0,0,62,1,7.29
FC Bayern München,4,360,0,0,22,1,0,0,18,0,7.28
Shakhtar Donetsk,6,540,0,0,35,0,0,0,33,0,7.27
Milan,7,630,0,0,61,1,0,0,54,0,7.21
Eintracht Frankfurt,8,720,0,0,58,0,0,0,30,0,7.13
SSC Napoli,10,900,0,0,71,3,0,0,36,0,7.12
Tottenham Hotspur,2,180,0,0,20,0,0,0,6,0,7.1
Tottenham Hotspur,6,540,0,1,53,0,0,0,23,0,7.1
Chelsea,9,810,0,1,72,0,0,0,37,0,7.1
Juventus,2,180,0,0,15,0,0,0,8,0,7.05
Manchester City,2,180,0,0,10,0,0,0,5,0,7.0
Atlético Madrid,5,450,0,0,30,0,0,0,16,0,7.0
RB Leipzig,6,527,0,0,29,0,0,0,17,0,7.0
GNK Dinamo Zagreb,6,540,0,0,55,1,0,0,48,0,6.98
Red Bull Salzburg,6,540,1,0,45,4,0,0,35,0,6.95
Borussia Dortmund,5,405,0,0,39,0,0,0,42,0,6.92
Paris Saint-Germain,8,720,0,0,51,1,0,0,19,0,6.88
Bayer 04 Leverkusen,6,540,0,0,42,1,0,0,32,0,6.83
FC Viktoria Plzeň,1,90,0,0,17,0,0,0,14,0,6.8
Rangers,5,450,0,0,37,0,0,0,31,0,6.74
Olympique de Marseille,6,540,0,0,37,4,0,0,29,1,6.7
Benfica,10,900,0,0,61,0,0,0,37,0,6.67
Liverpool FC,8,720,0,0,54,1,0,0,45,1,6.66
Real Madrid,2,180,0,0,12,1,0,0,2,0,6.65
FC København,2,180,0,0,16,0,0,0,17,0,6.55
FC Barcelona,5,450,0,0,31,0,0,0,37,0,6.54
Sporting CP,5,383,0,0,51,0,0,0,22,0,6.52
Chelsea,1,90,0,0,4,0,0,0,2,0,6.5
Rangers,1,90,0,0,7,0,0,0,6,0,6.5
AFC Ajax,6,540,0,0,46,0,0,0,30,0,6.47
FC Viktoria Plzeň,5,450,0,0,36,0,0,0,42,0,6.44
Maccabi Haifa,6,540,0,0,46,1,0,0,27,0,6.4
Sevilla,4,360,0,0,33,0,0,0,31,0,6.38
Juventus,4,360,0,0,28,0,0,0,14,0,6.35
Atlético Madrid,1,90,0,0,10,0,0,0,5,0,6.3
Celtic,6,540,0,1,40,1,0,0,10,0,6.23
Sporting CP,2,154,0,0,13,0,0,0,12,0,6.15
RB Leipzig,3,193,0,0,11,0,0,0,2,0,5.77
FC Bayern München,2,174,3,8,7,7,0,0,9,1,7.75
Atlético Madrid,1,90,4,1,5,4,2,0,2,0,7.7
Liverpool FC,6,341,5,2,23,17,11,1,8,4,7.45
SSC Napoli,10,890,18,12,56,35,20,5,20,8,7.41
Manchester City,12,1048,26,7,55,30,2,0,44,3,7.41
Borussia Dortmund,4,353,13,6,30,16,6,2,4,2,7.38
SSC Napoli,3,196,3,2,10,5,1,0,12,0,7.33
Milan,4,275,10,10,15,14,1,0,13,1,7.33
Manchester City,8,608,12,7,22,15,2,1,34,2,7.27
Inter,12,990,20,9,50,29,11,6,58,2,7.26
FC Barcelona,2,147,0,0,16,0,6,2,7,0,7.25
Borussia Dortmund,4,315,8,7,18,11,0,0,23,0,7.25
GNK Dinamo Zagreb,6,540,8,14,22,10,2,1,17,1,7.25
Liverpool FC,7,626,19,4,57,26,14,0,26,5,7.21
Benfica,8,657,14,17,34,30,13,3,32,8,7.21
SSC Napoli,9,786,12,22,41,15,1,0,23,2,7.21
Chelsea,8,692,14,7,55,37,9,2,21,16,7.18
FC Bayern München,7,615,5,10,27,9,0,0,24,0,7.17
Borussia Dortmund,6,481,7,10,26,18,8,1,10,3,7.17
FC Porto,3,270,2,4,15,2,2,1,19,0,7.17
Chelsea,8,641,8,9,47,15,0,0,36,1,7.16
FC Barcelona,5,406,5,6,42,9,8,1,19,2,7.16
Bayer 04 Leverkusen,5,409,10,5,25,12,2,0,7,0,7.14
FC Bayern München,9,593,12,13,40,19,2,1,18,1,7.13
Benfica,9,794,17,15,55,23,5,2,50,0,7.13
RB Leipzig,7,514,16,12,30,38,7,2,16,6,7.13
Manchester City,11,945,27,9,61,33,4,1,39,1,7.13
Chelsea,7,560,12,4,33,29,13,4,10,6,7.11
Liverpool FC,4,242,8,3,13,11,1,0,7,1,7.1
FC Porto,4,360,7,3,19,9,1,0,10,1,7.1
Juventus,1,90,2,3,2,2,0,0,2,0,7.1
Sevilla,3,224,7,1,10,11,0,0,5,0,7.1
FC Bayern München,10,507,14,3,44,24,6,3,14,7,7.09
Chelsea,7,570,12,8,38,17,3,1,14,1,7.09
SSC Napoli,7,614,9,2,36,12,1,0,33,1,7.07
FC Bayern München,9,603,22,8,56,49,10,1,8,23,7.07
Tottenham Hotspur,7,511,15,7,31,21,2,1,21,1,7.06
Manchester City,8,686,2,4,26,15,6,1,13,10,7.05
Manchester City,2,118,1,0,4,4,1,0,0,2,7.05
Milan,6,509,6,6,25,6,3,0,23,0,7.05
Milan,4,209,3,3,13,6,0,0,9,0,7.03
FC Barcelona,3,218,4,3,13,7,1,0,8,1,7.03
Maccabi Haifa,4,325,12,5,26,16,1,0,12,1,7.03
Olympique de Marseille,5,407,14,4,24,18,3,1,14,1,7.02
Bayer 04 Leverkusen,5,351,6,4,27,8,2,0,26,0,7.02
Borussia Dortmund,8,675,5,6,43,9,1,0,52,2,7.01
Benfica,10,896,11,14,57,15,1,1,52,2,7.01
Sevilla,2,180,2,2,14,6,1,1,4,2,7.0
Chelsea,6,437,8,5,24,12,3,1,13,1,7.0
Paris Saint-Germain,8,720,9,11,55,15,0,0,38,3,7.0
Sporting CP,1,38,1,0,1,1,0,0,1,0,7.0
Olympique de Marseille,6,490,11,13,49,13,0,0,25,0,6.98
Red Bull Salzburg,4,267,5,3,24,8,1,0,12,2,6.98
Real Madrid,8,438,9,17,32,16,5,0,5,1,6.97
FC Bayern München,10,715,14,14,50,19,2,0,54,4,6.97
RB Leipzig,6,540,9,4,33,17,2,1,33,3,6.97
SSC Napoli,6,388,6,7,30,14,6,1,13,3,6.97
Milan,6,499,17,15,32,23,2,0,15,2,6.97
Liverpool FC,3,259,6,1,10,11,1,0,2,1,6.97
Manchester City,5,286,9,3,21,14,1,0,8,4,6.96
Inter,12,926,10,11,46,19,1,0,36,1,6.96
Real Madrid,9,748,10,9,38,22,0,0,24,3,6.96
Real Madrid,11,872,18,7,37,28,11,3,18,0,6.95
Bayer 04 Leverkusen,5,338,9,4,30,16,4,0,5,5,6.95
Inter,8,537,9,4,19,11,4,0,9,0,6.95
Sevilla,2,180,5,1,5,7,1,1,5,1,6.95
Club Brugge KV,8,720,11,11,34,12,0,0,34,0,6.95
Tottenham Hotspur,8,545,18,3,28,32,4,0,10,2,6.94
Shakhtar Donetsk,6,540,7,7,26,8,0,0,12,1,6.93
Milan,11,948,27,6,74,57,12,3,22,7,6.93
Borussia Dortmund,8,564,10,3,46,21,3,0,26,5,6.93
FC Bayern München,5,393,13,3,32,22,1,0,6,6,6.92
Olympique de Marseille,5,305,6,15,26,11,0,0,17,1,6.92
Red Bull Salzburg,6,540,17,3,34,24,2,0,7,3,6.92
Paris Saint-Germain,7,449,10,6,40,17,0,0,17,4,6.92
Milan,10,750,15,7,49,25,3,0,37,2,6.91
Red Bull Salzburg,3,166,9,0,11,9,3,1,1,0,6.9
AFC Ajax,2,76,1,2,5,1,2,0,0,0,6.9
Atlético Madrid,5,402,6,6,20,8,1,1,31,0,6.9
Chelsea,8,412,12,8,40,19,4,0,9,1,6.9
FC København,4,360,3,7,16,5,0,0,7,1,6.9
Borussia Dortmund,7,564,16,13,42,23,0,0,12,5,6.9
Bayer 04 Leverkusen,6,479,8,2,44,8,3,0,16,0,6.9
GNK Dinamo Zagreb,1,76,2,1,8,2,0,0,2,0,6.9
Real Madrid,1,17,2,0,0,2,0,0,3,0,6.9
Shakhtar Donetsk,6,540,10,9,27,12,0,0,19,1,6.9
Real Madrid,10,676,10,6,34,10,2,1,24,0,6.89
Club Brugge KV,8,572,9,11,35,12,6,2,6,2,6.89
GNK Dinamo Zagreb,6,540,12,9,39,19,0,0,9,3,6.88
Manchester City,5,306,4,2,11,10,3,1,6,5,6.88
Bayer 04 Leverkusen,5,429,10,4,31,15,2,0,10,3,6.88
Sevilla,4,226,5,4,16,8,4,0,1,1,6.87
FC Porto,8,588,13,11,30,16,2,0,8,2,6.86
Liverpool FC,8,720,4,4,36,5,2,0,16,1,6.85
Tottenham Hotspur,2,80,1,2,4,1,0,0,1,0,6.85
FC Porto,4,360,7,6,22,12,0,0,11,0,6.85
Eintracht Frankfurt,4,259,2,2,31,10,0,0,10,0,6.85
Chelsea,5,398,15,4,36,19,2,0,10,2,6.84
AFC Ajax,6,540,14,7,39,27,2,1,13,5,6.83
Atlético Madrid,6,512,11,5,43,19,2,0,8,3,6.83
FC København,6,482,15,6,23,19,7,1,12,1,6.83
Club Brugge KV,3,134,1,7,8,1,0,0,3,0,6.83
Tottenham Hotspur,7,618,7,8,40,7,1,0,31,0,6.83
Tottenham Hotspur,7,600,14,10,41,15,1,0,14,0,6.83
Juventus,4,239,3,5,21,10,0,0,13,2,6.83
Chelsea,5,259,7,3,17,12,4,0,4,1,6.82
Paris Saint-Germain,6,441,11,1,21,31,5,0,5,11,6.82
Tottenham Hotspur,6,428,15,4,26,29,6,2,15,7,6.82
Atlético Madrid,6,468,7,1,26,12,7,1,12,2,6.82
RB Leipzig,8,720,9,8,42,19,2,0,35,3,6.81
Bayer 04 Leverkusen,5,375,8,5,21,19,5,2,2,4,6.8
FC Barcelona,3,248,7,3,19,10,1,1,7,2,6.8
FC København,4,305,5,5,19,7,0,0,8,0,6.8
Real Madrid,11,712,8,7,38,11,8,1,5,3,6.8
Tottenham Hotspur,3,154,9,2,7,13,3,0,2,1,6.8
Red Bull Salzburg,6,540,19,9,31,29,7,1,10,4,6.8
Sporting CP,5,395,8,6,20,10,0,0,9,1,6.8
Tottenham Hotspur,1,17,1,0,2,1,0,0,1,0,6.8
Real Madrid,5,347,3,3,22,9,3,1,8,2,6.8
Bayer 04 Leverkusen,5,450,19,6,37,28,3,0,10,2,6.8
Celtic,1,90,0,0,4,0,0,0,3,0,6.8
SSC Napoli,8,512,16,5,42,24,11,1,7,1,6.79
FC Bayern München,8,350,10,4,27,15,5,0,10,3,6.79
Shakhtar Donetsk,4,360,7,7,16,9,2,1,7,0,6.78
Paris Saint-Germain,8,655,5,3,31,10,2,0,12,1,6.78
Manchester City,4,292,0,3,12,1,1,0,12,0,6.78
Sporting CP,6,540,4,5,23,12,0,0,23,6,6.77
Atlético Madrid,3,270,3,2,13,4,3,0,17,0,6.77
Club Brugge KV,7,524,11,7,30,18,1,0,25,2,6.76
RB Leipzig,4,166,1,6,6,4,3,1,1,1,6.75
Celtic,4,360,3,4,16,4,0,0,11,0,6.75
FC Barcelona,4,257,3,3,9,4,0,0,11,0,6.75
Inter,7,298,10,4,7,10,0,0,2,0,6.75
GNK Dinamo Zagreb,5,374,6,6,18,13,3,0,6,0,6.74
Maccabi Haifa,6,396,7,4,39,11,0,0,7,3,6.73
Juventus,6,443,2,2,30,5,0,0,41,2,6.73
FC Barcelona,4,222,4,4,13,4,1,0,11,0,6.73
Red Bull Salzburg,4,273,10,5,15,13,0,0,9,0,6.73
Liverpool FC,5,379,2,2,24,5,8,0,9,3,6.72
Maccabi Haifa,5,375,11,3,16,17,8,1,9,4,6.72
Paris Saint-Germain,5,274,11,1,13,14,1,0,1,0,6.72
FC Porto,6,152,3,1,12,9,4,1,5,2,6.72
Juventus,3,270,6,5,17,9,0,0,3,1,6.7
Celtic,6,540,8,8,22,8,0,0,9,0,6.7
Red Bull Salzburg,3,270,8,4,20,10,2,0,2,0,6.7
FC Barcelona,2,180,4,1,7,4,1,0,3,0,6.7
RB Leipzig,5,227,4,1,14,11,1,0,13,5,6.7
GNK Dinamo Zagreb,1,14,0,1,0,0,0,0,0,0,6.7
Manchester City,2,44,1,0,2,2,0,0,1,0,6.7
Benfica,2,106,0,1,9,1,1,0,10,0,6.7
Juventus,3,93,1,1,2,3,1,0,3,1,6.7
RB Leipzig,8,533,13,7,25,20,9,2,4,4,6.7
Club Brugge KV,6,495,6,7,30,11,1,0,15,4,6.68
Juventus,5,428,7,7,18,13,3,1,11,5,6.68
Olympique de Marseille,5,250,0,4,13,3,0,0,8,0,6.68
Eintracht Frankfurt,8,720,13,13,62,13,1,0,8,0,6.68
Sporting CP,4,190,8,7,8,13,1,0,4,0,6.68
Sevilla,6,391,8,4,15,18,5,0,2,3,6.67
GNK Dinamo Zagreb,3,35,1,0,0,3,0,0,1,0,6.67
GNK Dinamo Zagreb,6,410,9,0,21,20,7,0,3,3,6.67
Tottenham Hotspur,7,389,7,5,17,12,0,0,4,2,6.66
Celtic,6,540,14,7,26,22,9,0,8,2,6.63
Sporting CP,6,508,10,3,21,15,1,0,14,0,6.63
Paris Saint-Germain,4,114,1,1,5,2,1,0,0,0,6.63
FC København,6,336,13,4,14,14,2,0,6,0,6.62
Sevilla,5,450,6,3,13,15,3,0,9,5,6.6
FC København,5,431,2,10,14,2,0,0,13,0,6.6
Milan,10,828,22,10,57,24,3,0,48,0,6.6
FC Barcelona,1,90,1,0,1,1,0,0,5,0,6.6
Liverpool FC,1,13,0,0,0,1,0,0,1,0,6.6
Borussia Dortmund,1,18,0,1,1,0,0,0,0,0,6.6
Celtic,1,90,0,1,3,0,0,0,5,0,6.6
FC København,2,99,0,2,5,1,1,0,2,0,6.6
Paris Saint-Germain,3,146,2,2,5,4,0,0,2,0,6.6
Eintracht Frankfurt,3,120,1,5,7,1,0,0,9,0,6.6
Benfica,5,198,5,6,15,11,0,0,2,3,6.58
Liverpool FC,5,299,4,5,33,5,2,1,9,0,6.58
Sevilla,4,219,9,2,17,10,4,0,3,1,6.58
Rangers,4,315,6,5,14,10,1,0,19,0,6.58
SSC Napoli,3,204,3,1,5,3,0,0,2,0,6.57
Paris Saint-Germain,8,587,9,8,31,15,3,1,6,5,6.55
RB Leipzig,2,55,3,0,1,3,0,0,1,0,6.55
Sporting CP,2,100,1,1,3,1,0,0,1,0,6.55
Celtic,2,60,4,0,4,4,0,0,1,0,6.55
Maccabi Haifa,5,450,8,10,28,8,0,0,12,0,6.54
Atlético Madrid,3,157,1,2,4,2,1,0,5,0,6.53
FC Viktoria Plzeň,6,361,12,5,14,15,3,1,10,1,6.53
AFC Ajax,3,41,2,0,1,2,0,0,0,0,6.53
Atlético Madrid,3,213,2,2,12,3,2,0,1,1,6.53
Milan,4,132,2,5,9,5,0,0,1,1,6.53
FC Porto,5,450,5,4,11,7,1,0,12,0,6.52
Red Bull Salzburg,6,374,7,4,28,9,3,0,3,0,6.5
Paris Saint-Germain,1,45,1,0,1,1,0,0,0,0,6.5
Eintracht Frankfurt,2,112,1,1,7,4,1,0,1,0,6.5
Shakhtar Donetsk,2,11,0,0,0,1,0,0,0,0,6.5
Borussia Dortmund,2,13,0,0,0,0,0,0,0,0,6.5
Bayer 04 Leverkusen,3,25,1,1,1,1,0,0,0,0,6.5
Borussia Dortmund,3,63,0,1,3,0,0,0,0,0,6.5
Rangers,6,487,11,6,32,15,6,1,8,3,6.48
AFC Ajax,6,530,4,8,28,12,2,0,9,3,6.48
Shakhtar Donetsk,5,419,10,2,21,16,5,0,6,1,6.48
FC København,5,104,1,2,2,3,4,0,0,0,6.48
AFC Ajax,5,269,10,2,14,14,2,0,2,3,6.48
Sevilla,3,224,2,5,7,6,1,0,4,1,6.47
Rangers,6,464,9,3,21,11,5,0,14,0,6.47
Inter,6,162,3,4,10,8,0,0,7,1,6.46
Milan,4,188,4,1,15,5,2,0,3,0,6.45
Tottenham Hotspur,2,25,0,0,1,0,0,0,0,0,6.45
Maccabi Haifa,2,82,4,0,3,4,0,0,0,0,6.45
FC København,4,191,4,1,8,6,1,0,3,2,6.45
Eintracht Frankfurt,7,599,19,8,55,22,1,0,13,2,6.44
FC Porto,5,270,8,3,14,16,1,0,2,3,6.44
FC Viktoria Plzeň,3,169,2,2,10,3,2,0,8,0,6.43
Eintracht Frankfurt,4,199,7,3,17,10,2,0,2,3,6.43
Olympique de Marseille,4,149,5,1,8,7,0,0,1,1,6.4
FC Bayern München,5,410,17,4,20,18,2,0,9,1,6.4
Rangers,1,90,1,3,8,2,2,1,1,1,6.4
FC Viktoria Plzeň,6,513,8,7,10,9,0,0,12,0,6.38
Sporting CP,3,118,3,1,3,4,1,0,0,0,6.37
Maccabi Haifa,6,540,10,4,27,11,4,0,16,1,6.37
Eintracht Frankfurt,2,159,5,1,7,5,0,0,1,0,6.35
FC Viktoria Plzeň,6,292,5,4,10,9,2,0,2,0,6.33
RB Leipzig,3,262,10,2,16,11,2,0,1,0,6.33
Olympique de Marseille,6,540,11,4,45,40,3,0,9,15,6.32
FC Barcelona,4,167,0,0,8,9,1,0,1,5,6.3
Celtic,1,10,0,0,1,1,1,0,0,1,6.3
Juventus,2,180,2,2,7,7,0,0,5,2,6.3
RB Leipzig,7,198,5,3,8,8,1,0,5,1,6.28
Shakhtar Donetsk,5,309,7,3,17,16,0,0,2,5,6.26
Rangers,3,261,3,4,15,4,0,0,6,0,6.23
FC Viktoria Plzeň,6,495,6,3,16,6,0,0,14,0,6.22
FC København,1,24,0,0,1,0,0,0,0,0,6.2
Club Brugge KV,3,164,1,4,8,4,1,0,6,2,6.2
Rangers,6,373,10,5,14,12,0,0,8,1,6.1
Club Brugge KV,1,90,1,0,4,1,1,0,3,0,6.1
Sevilla,1,90,0,0,2,0,0,0,0,0,6.0
Sporting CP,3,110,8,0,6,9,1,0,2,0,4.65
Club Brugge KV,1,1,0,0,1,0,0,0,0,0,0.0
RB Leipzig,1,2,0,0,0,0,0,0,0,0,0.0
Benfica,2,4,0,0,2,0,0,0,0,0,0.0
FC Porto,2,3,1,0,0,1,0,0,0,0,0.0
FC Bayern München,9,810,19,20,53,39,21,4,49,3,7.77
Liverpool FC,8,624,3,2,21,15,13,4,4,9,7.7
Manchester City,10,721,9,2,23,26,22,8,19,10,7.61
Juventus,3,146,1,0,12,7,7,4,9,4,7.57
Chelsea,6,415,14,11,37,28,7,0,11,4,7.47
FC Bayern München,8,557,10,6,36,22,18,2,5,10,7.45
SSC Napoli,10,638,8,4,21,28,23,5,8,8,7.4
Manchester City,12,997,24,13,105,39,5,1,56,9,7.4
Olympique de Marseille,6,379,1,3,19,23,13,3,13,11,7.4
Tottenham Hotspur,7,574,19,4,26,30,10,5,11,8,7.4
Tottenham Hotspur,1,90,5,1,12,7,1,0,5,1,7.4
Real Madrid,11,968,18,14,45,33,19,4,31,11,7.38
Real Madrid,12,846,26,9,54,39,17,1,62,2,7.37
Sporting CP,3,111,2,0,5,6,2,1,1,2,7.37
Benfica,10,900,25,13,63,40,19,6,20,10,7.33
Atlético Madrid,3,225,8,7,30,12,1,0,16,1,7.3
FC Bayern München,7,537,11,2,35,40,15,3,9,17,7.29
Juventus,5,447,16,5,34,25,4,0,7,4,7.28
Liverpool FC,5,308,15,7,35,23,3,1,24,2,7.28
Manchester City,13,936,8,4,49,66,36,4,8,26,7.25
Benfica,10,865,12,5,65,35,15,5,11,14,7.23
Borussia Dortmund,7,630,15,13,32,43,7,0,20,11,7.23
AFC Ajax,6,452,4,5,18,19,5,0,7,11,7.22
Manchester City,9,506,9,1,20,30,19,1,17,12,7.2
Shakhtar Donetsk,3,189,6,4,7,11,0,0,0,3,7.2
Sevilla,1,90,0,1,6,2,1,0,12,0,7.2
Borussia Dortmund,1,90,3,0,7,7,0,0,3,1,7.2
Chelsea,9,763,27,10,65,40,6,0,58,5,7.19
FC Barcelona,5,298,8,4,16,11,11,2,11,1,7.18
FC Bayern München,9,608,16,7,46,17,9,5,8,1,7.18
Manchester City,13,909,19,9,66,58,20,1,23,26,7.17
FC Bayern München,9,551,10,4,17,31,8,2,4,12,7.17
Liverpool FC,3,269,4,0,14,13,3,0,2,4,7.17
SSC Napoli,9,374,8,5,31,28,9,4,2,11,7.16
SSC Napoli,8,653,14,14,56,44,10,2,11,14,7.15
Manchester City,8,384,5,5,19,21,10,2,7,7,7.14
Red Bull Salzburg,6,540,19,8,47,22,6,1,10,1,7.13
FC Barcelona,3,207,5,4,16,5,3,1,4,0,7.13
Tottenham Hotspur,7,625,12,11,57,26,5,0,19,7,7.13
FC Porto,7,530,17,1,27,42,14,4,18,11,7.13
FC Porto,7,596,14,11,35,24,5,1,8,3,7.1
Inter,12,807,16,8,69,33,17,2,37,4,7.1
Olympique de Marseille,6,490,16,2,34,22,8,0,18,1,7.1
Liverpool FC,2,153,6,1,10,11,2,0,1,2,7.1
FC Porto,8,568,3,10,34,31,10,0,3,10,7.09
Manchester City,13,997,12,7,63,40,14,2,37,11,7.08
Milan,12,1053,19,4,57,43,22,9,35,6,7.08
Liverpool FC,4,281,7,3,21,10,6,2,10,2,7.08
Real Madrid,10,750,4,7,44,20,9,3,22,10,7.07
Tottenham Hotspur,6,506,12,5,41,21,3,0,12,6,7.07
Olympique de Marseille,6,471,15,8,39,23,3,0,20,4,7.07
Benfica,9,403,11,7,32,25,5,0,17,7,7.06
Juventus,6,437,12,8,30,35,10,2,23,6,7.05
Celtic,6,485,18,11,27,24,2,1,15,3,7.05
Inter,11,735,9,10,47,22,16,6,22,4,7.05
Paris Saint-Germain,7,625,27,6,52,54,4,2,20,11,7.04
Club Brugge KV,5,298,4,0,11,10,8,0,2,3,7.04
Atlético Madrid,5,255,4,3,18,15,5,0,12,3,7.04
Bayer 04 Leverkusen,6,510,4,0,21,12,6,0,5,6,7.03
Borussia Dortmund,3,264,4,3,14,8,4,2,0,3,7.03
Atlético Madrid,6,461,6,3,29,9,3,1,10,1,7.03
Eintracht Frankfurt,8,700,17,9,38,34,3,1,18,6,7.03
