team,appearances,minutesPlayed,tackles,interceptions,ballRecovery,groundDuelsWon,keyPasses,bigChancesCreated,accurateLongBalls,successfulDribbles,rating
Juventus,4,310,10,3,23,15,6,0,14,1,7.03
FC Porto,4,282,5,4,16,9,4,0,5,2,7.03
Olympique de Marseille,6,419,4,6,26,10,5,0,9,0,7.02
Benfica,10,827,11,1,19,51,14,0,6,21,7.01
Liverpool FC,8,416,8,6,20,15,10,2,4,7,7.0
FC København,2,171,5,4,12,7,0,0,5,0,7.0
GNK Dinamo Zagreb,6,521,11,8,30,17,1,0,29,2,7.0
FC København,2,162,4,3,11,7,0,0,3,3,7.0
FC Bayern München,8,343,8,0,7,12,4,3,5,4,6.99
Inter,12,997,23,2,64,44,13,1,23,8,6.98
FC København,6,486,9,9,41,18,7,1,2,4,6.98
Red Bull Salzburg,6,495,21,4,43,25,11,2,2,3,6.98
SSC Napoli,9,413,9,1,28,18,6,2,10,4,6.97
Sporting CP,6,298,7,2,12,15,5,0,7,3,6.97
FC Bayern München,6,278,10,5,22,19,3,0,5,1,6.97
RB Leipzig,3,62,4,0,2,9,2,0,2,1,6.97
Bayer 04 Leverkusen,4,215,4,2,13,4,3,0,10,0,6.97
Sevilla,6,402,6,5,25,27,5,0,14,7,6.95
Chelsea,8,627,11,6,40,29,8,1,18,8,6.95
Chelsea,2,82,1,2,9,4,1,0,3,0,6.95
Shakhtar Donetsk,6,484,9,6,22,20,6,2,9,6,6.95
Sevilla,6,421,9,4,28,16,3,0,23,1,6.95
Real Madrid,12,319,1,5,10,5,9,2,5,1,6.95
Inter,13,915,26,16,79,43,6,0,13,6,6.94
Liverpool FC,8,397,8,5,30,18,5,0,7,5,6.94
GNK Dinamo Zagreb,6,495,5,2,16,12,4,0,4,2,6.93
Paris Saint-Germain,6,159,4,3,7,9,3,0,3,2,6.93
FC Barcelona,5,404,7,5,24,23,8,0,24,9,6.92
SSC Napoli,10,876,21,5,79,51,6,0,20,6,6.92
Celtic,6,226,5,2,12,15,8,1,2,3,6.92
Club Brugge KV,7,595,12,4,41,22,6,0,9,7,6.91
Benfica,10,862,26,27,60,30,1,0,33,3,6.91
RB Leipzig,7,340,12,10,37,15,2,1,6,2,6.9
FC Barcelona,5,331,7,5,20,18,6,1,3,3,6.9
FC Porto,7,613,10,11,68,17,8,0,15,5,6.89
AFC Ajax,6,533,15,11,37,20,2,0,17,1,6.88
Bayer 04 Leverkusen,6,467,2,3,21,17,10,2,7,9,6.88
Juventus,5,266,9,2,20,12,1,0,17,1,6.88
FC Bayern München,8,363,4,2,29,7,6,0,5,0,6.88
Eintracht Frankfurt,8,720,14,18,52,28,9,1,16,0,6.88
FC Barcelona,4,235,4,3,14,14,2,0,4,4,6.88
Milan,10,593,26,7,65,51,4,1,18,13,6.87
Real Madrid,10,446,10,7,37,18,0,0,10,3,6.87
FC Barcelona,6,282,6,2,18,15,2,0,5,1,6.87
Inter,9,546,18,9,38,28,4,1,26,5,6.87
Sporting CP,6,388,5,2,16,13,2,1,3,5,6.85
Inter,12,886,9,8,39,39,3,1,5,8,6.85
FC København,6,297,5,0,16,17,1,0,3,4,6.85
Benfica,10,618,13,5,28,19,11,0,12,4,6.85
Atlético Madrid,2,105,1,1,13,3,3,0,4,1,6.85
Juventus,2,108,2,1,7,6,3,0,7,1,6.85
SSC Napoli,2,16,2,1,0,3,1,0,0,1,6.85
Inter,11,417,20,5,23,24,5,2,10,1,6.85
RB Leipzig,7,586,11,5,53,19,2,0,20,5,6.84
AFC Ajax,6,524,3,1,23,11,10,1,3,5,6.83
Borussia Dortmund,6,383,3,3,15,15,10,2,3,5,6.83
Tottenham Hotspur,4,41,0,2,7,4,2,0,1,1,6.83
Sporting CP,6,468,29,13,43,50,1,0,6,10,6.83
Bayer 04 Leverkusen,5,266,7,3,24,12,4,1,11,1,6.82
Atlético Madrid,5,284,10,4,15,13,2,0,3,1,6.82
Olympique de Marseille,6,416,6,5,19,14,4,1,8,7,6.82
Maccabi Haifa,6,468,23,9,39,29,7,0,16,3,6.82
Chelsea,7,288,7,7,25,18,1,1,5,3,6.81
Borussia Dortmund,5,206,3,3,13,6,5,0,2,1,6.8
FC København,3,42,2,0,1,7,0,0,0,4,6.8
Manchester City,4,137,1,0,6,5,0,0,5,4,6.8
FC Barcelona,4,292,8,4,23,18,0,0,8,1,6.8
Atlético Madrid,4,330,2,1,15,6,3,1,19,0,6.8
Sporting CP,1,27,2,0,3,4,0,0,0,1,6.8
Liverpool FC,1,17,1,1,0,3,0,0,1,2,6.8
FC Porto,1,20,1,0,0,1,1,0,0,0,6.8
Sevilla,3,54,2,1,4,6,1,0,1,2,6.8
Tottenham Hotspur,4,214,8,2,15,12,2,0,3,1,6.8
Milan,8,376,7,4,18,25,7,0,1,13,6.79
Borussia Dortmund,7,546,8,12,34,14,6,2,12,2,6.79
Real Madrid,7,84,4,0,9,13,1,1,2,5,6.79
FC Viktoria Plzeň,6,494,13,14,46,19,8,1,21,2,6.78
Inter,11,823,20,19,35,25,2,0,18,1,6.78
Sevilla,5,247,2,3,7,10,5,1,8,3,6.78
FC København,5,290,4,2,13,7,4,0,3,1,6.78
RB Leipzig,8,657,8,1,36,20,12,3,15,5,6.78
Paris Saint-Germain,8,589,8,13,51,23,3,0,22,8,6.78
Club Brugge KV,8,704,5,4,34,15,5,1,31,1,6.78
Eintracht Frankfurt,7,513,4,2,32,24,8,2,1,9,6.77
FC Bayern München,9,537,4,6,33,37,14,2,7,24,6.77
Juventus,6,431,8,0,24,13,12,0,3,2,6.77
FC Bayern München,6,255,6,3,12,10,5,1,3,1,6.77
Paris Saint-Germain,3,91,1,0,2,3,1,0,0,1,6.77
Celtic,3,218,3,5,19,5,3,0,2,1,6.77
Club Brugge KV,8,645,19,6,31,24,3,3,11,0,6.76
Shakhtar Donetsk,5,370,7,4,19,16,2,0,5,2,6.76
Inter,5,146,4,2,8,7,2,2,4,1,6.76
RB Leipzig,8,402,8,1,15,18,4,0,4,3,6.75
GNK Dinamo Zagreb,6,476,16,3,21,20,3,0,2,1,6.75
Maccabi Haifa,6,400,9,3,35,28,9,1,21,7,6.75
Celtic,6,454,5,3,39,12,7,0,16,3,6.75
Olympique de Marseille,2,78,1,1,6,3,1,0,2,1,6.75
Olympique de Marseille,3,39,1,1,4,3,0,0,7,0,6.75
Juventus,5,360,6,5,15,10,0,0,3,2,6.74
Red Bull Salzburg,5,400,5,4,29,12,7,1,7,6,6.74
Liverpool FC,8,631,13,9,38,19,5,0,18,2,6.74
Celtic,6,540,12,5,45,18,6,2,8,4,6.73
FC København,3,189,2,7,15,8,1,0,1,2,6.73
Sevilla,6,259,4,4,19,10,1,1,12,1,6.72
Chelsea,8,298,9,5,18,18,6,1,5,3,6.71
Milan,8,161,5,0,6,7,2,0,3,1,6.7
Bayer 04 Leverkusen,5,124,3,2,13,4,3,1,0,1,6.7
Club Brugge KV,4,107,3,2,6,3,1,0,3,0,6.7
Sporting CP,2,87,4,0,5,7,0,0,1,1,6.7
Benfica,4,40,1,0,4,6,0,0,1,3,6.7
Eintracht Frankfurt,1,11,0,0,0,0,0,0,0,0,6.7
FC Viktoria Plzeň,3,34,2,2,4,2,1,0,2,0,6.7
Red Bull Salzburg,6,315,12,4,44,23,1,0,11,1,6.7
FC Barcelona,1,23,0,0,2,1,0,0,1,0,6.7
Sporting CP,1,29,1,0,1,2,0,0,0,0,6.7
FC Barcelona,1,12,0,0,1,0,0,0,1,0,6.7
Sporting CP,1,17,0,0,1,1,1,0,1,0,6.7
Celtic,1,8,0,0,2,0,0,0,0,0,6.7
Bayer 04 Leverkusen,2,90,3,1,14,6,1,0,4,0,6.7
Shakhtar Donetsk,6,534,18,12,31,20,2,0,16,0,6.7
Milan,11,823,17,7,46,31,0,0,13,4,6.69
Real Madrid,11,720,26,6,39,49,6,1,20,7,6.69
Paris Saint-Germain,7,247,5,1,16,14,2,1,7,5,6.69
Eintracht Frankfurt,6,299,11,3,21,16,4,1,3,0,6.68
Real Madrid,5,204,4,3,11,10,4,1,3,2,6.68
Chelsea,8,611,7,1,28,31,7,1,2,13,6.68
Rangers,4,235,4,2,4,12,3,1,0,2,6.68
Red Bull Salzburg,4,119,4,1,13,8,2,0,0,1,6.68
Eintracht Frankfurt,7,523,7,3,33,21,6,1,4,4,6.67
Liverpool FC,8,240,11,2,18,18,1,0,6,3,6.67
AFC Ajax,6,421,6,4,19,11,3,2,2,4,6.67
FC København,6,450,8,14,21,12,4,0,6,2,6.67
Club Brugge KV,7,569,9,6,44,20,2,0,19,3,6.66
Benfica,3,27,1,0,4,1,1,0,0,0,6.65
Chelsea,2,165,3,2,12,4,3,0,1,1,6.65
Sevilla,4,229,2,1,14,6,2,0,4,0,6.65
Inter,6,119,6,2,7,10,1,1,1,1,6.65
Benfica,2,41,0,0,3,3,1,0,1,2,6.65
Paris Saint-Germain,3,140,3,1,15,7,0,0,4,1,6.65
Manchester City,3,39,0,1,2,0,0,0,8,0,6.65
RB Leipzig,5,276,8,3,15,10,2,0,5,1,6.64
Maccabi Haifa,3,210,7,2,12,14,3,1,4,3,6.63
Sevilla,6,238,3,1,3,10,3,0,3,1,6.63
SSC Napoli,3,57,2,0,7,2,1,0,0,0,6.63
Liverpool FC,4,118,6,1,7,7,0,0,8,1,6.63
FC Porto,3,71,2,1,4,3,1,0,1,0,6.63
GNK Dinamo Zagreb,3,37,2,0,3,2,0,0,3,0,6.63
Shakhtar Donetsk,6,487,14,7,29,18,5,0,6,1,6.63
Chelsea,4,153,0,2,5,7,2,0,3,4,6.63
SSC Napoli,10,289,8,0,23,15,4,0,2,2,6.62
AFC Ajax,4,288,14,4,17,15,2,0,2,0,6.6
Sevilla,6,495,3,2,22,6,2,0,23,0,6.6
Shakhtar Donetsk,1,13,2,0,2,3,0,0,0,1,6.6
Club Brugge KV,1,10,1,0,0,1,0,0,0,0,6.6
Club Brugge KV,1,16,1,0,1,1,0,0,1,0,6.6
Tottenham Hotspur,3,94,2,2,12,2,0,0,0,0,6.6
Paris Saint-Germain,3,82,2,0,5,6,2,0,0,2,6.6
Milan,10,608,7,6,25,47,5,2,8,17,6.58
FC Viktoria Plzeň,5,434,12,4,26,24,3,1,0,4,6.58
Rangers,5,250,5,2,21,6,1,0,9,0,6.58
GNK Dinamo Zagreb,5,72,3,0,6,6,2,0,1,0,6.58
Borussia Dortmund,4,179,3,2,9,6,1,0,2,2,6.58
FC Viktoria Plzeň,6,261,2,7,16,7,5,0,1,0,6.57
Sporting CP,3,119,1,0,4,4,0,0,1,0,6.57
Sevilla,5,276,4,2,10,6,5,1,4,2,6.56
Rangers,4,192,4,1,10,6,3,0,2,1,6.55
Tottenham Hotspur,4,200,5,1,7,12,4,0,1,2,6.55
Liverpool FC,2,100,2,1,5,4,1,0,0,0,6.55
FC Viktoria Plzeň,4,181,4,6,23,10,0,0,8,3,6.55
SSC Napoli,3,28,0,0,1,1,0,0,0,1,6.55
Club Brugge KV,4,48,0,2,6,3,1,0,1,1,6.55
FC Barcelona,3,95,2,1,4,3,1,0,2,0,6.53
Olympique de Marseille,3,122,1,0,4,7,0,0,0,0,6.53
Celtic,3,87,1,1,3,2,2,1,0,1,6.53
Eintracht Frankfurt,5,228,6,4,10,7,3,0,2,0,6.53
Sporting CP,5,334,5,2,17,7,1,0,10,0,6.52
Rangers,4,268,4,1,17,4,1,0,4,0,6.5
GNK Dinamo Zagreb,6,540,13,10,47,30,2,0,15,7,6.5
GNK Dinamo Zagreb,6,527,7,6,35,18,4,0,13,8,6.5
Celtic,5,152,0,1,10,0,2,0,3,0,6.5
Shakhtar Donetsk,6,188,2,0,5,3,2,0,0,0,6.5
Eintracht Frankfurt,8,619,20,3,43,25,1,0,15,2,6.5
Benfica,3,33,1,0,5,2,0,0,2,1,6.5
FC Bayern München,2,34,0,1,2,1,1,0,1,1,6.5
AFC Ajax,2,20,0,1,1,1,0,0,0,0,6.5
Borussia Dortmund,1,17,0,0,0,1,0,0,1,0,6.5
Maccabi Haifa,1,11,0,0,1,2,0,0,0,1,6.5
FC Porto,2,12,1,0,2,1,0,0,1,0,6.5
Shakhtar Donetsk,5,86,1,4,6,1,0,0,1,0,6.5
Celtic,5,227,1,2,7,5,4,1,0,1,6.48
Olympique de Marseille,4,108,4,0,10,7,0,0,1,0,6.48
Inter,3,118,2,1,5,4,1,0,3,1,6.47
Celtic,5,101,1,0,3,1,0,0,0,0,6.46
AFC Ajax,5,209,0,0,8,2,2,0,3,0,6.44
Milan,7,245,7,1,18,11,4,1,5,3,6.44
Rangers,5,246,10,3,15,20,1,0,0,5,6.42
Maccabi Haifa,5,361,11,7,35,17,1,0,9,2,6.42
FC Viktoria Plzeň,6,424,12,4,12,15,3,1,3,2,6.42
Sporting CP,5,364,8,3,21,14,5,0,4,2,6.4
Shakhtar Donetsk,1,16,0,0,0,0,0,0,0,0,6.4
Liverpool FC,1,13,1,0,2,2,0,0,0,0,6.4
Shakhtar Donetsk,1,9,0,0,0,0,0,0,0,0,6.4
AFC Ajax,5,62,1,0,4,2,1,0,2,0,6.38
FC København,3,269,3,3,15,7,0,0,2,3,6.37
Eintracht Frankfurt,6,247,8,1,19,13,0,0,3,1,6.36
FC Viktoria Plzeň,5,364,6,2,24,10,7,2,9,4,6.36
Rangers,4,134,3,1,7,5,1,0,0,1,6.33
FC Viktoria Plzeň,2,150,0,3,5,3,1,0,0,1,6.3
Rangers,1,11,0,0,0,0,0,0,0,0,6.3
Borussia Dortmund,2,37,0,0,2,1,0,0,0,0,6.3
Maccabi Haifa,2,21,2,1,2,2,0,0,0,0,6.3
Rangers,6,510,6,1,24,29,3,0,1,12,6.28
Juventus,5,217,3,0,13,8,0,0,4,2,6.26
Club Brugge KV,6,523,9,0,27,32,2,1,4,9,6.23
Maccabi Haifa,4,59,3,0,7,3,0,0,2,0,6.23
Rangers,4,325,5,4,13,7,0,0,12,0,6.2
Inter,1,14,0,0,0,0,0,0,0,0,6.2
Club Brugge KV,1,11,0,0,0,0,0,0,0,0,6.2
Rangers,5,450,6,9,41,11,1,0,9,2,6.14
Atlético Madrid,1,11,0,0,0,1,0,0,0,1,6.1
FC Viktoria Plzeň,2,84,1,1,5,2,0,0,0,0,6.0
Rangers,4,125,0,4,10,2,2,1,1,1,5.9
FC Viktoria Plzeň,1,2,0,0,1,0,0,0,0,0,0.0
Juventus,1,2,0,0,0,0,0,0,0,0,0.0
Juventus,1,2,2,0,1,2,0,0,0,0,0.0
FC Barcelona,5,442,5,1,11,18,7,3,1,3,7.98
Paris Saint-Germain,7,615,4,3,18,34,19,4,3,14,7.93
Benfica,1,8,0,0,0,0,2,0,0,0,7.8
FC Porto,7,613,8,1,22,22,14,6,0,3,7.66
Red Bull Salzburg,1,65,1,1,1,7,2,1,0,1,7.6
Paris Saint-Germain,8,651,0,0,8,33,8,2,4,17,7.53
Paris Saint-Germain,6,539,3,2,15,36,16,3,14,14,7.45
Manchester City,11,845,1,2,14,20,7,2,1,12,7.41
SSC Napoli,7,260,4,2,16,9,6,2,10,0,7.4
Celtic,4,285,1,3,13,14,9,0,5,11,7.4
Juventus,1,20,0,1,2,0,2,1,0,0,7.4
SSC Napoli,6,423,5,1,7,20,3,2,1,5,7.35
FC Barcelona,6,415,11,2,16,29,12,3,10,12,7.35
AFC Ajax,6,468,13,4,23,18,6,1,18,1,7.27
Real Madrid,12,825,7,9,23,33,13,3,5,14,7.26
Atlético Madrid,6,405,7,2,17,15,9,1,8,4,7.23
FC Bayern München,7,441,7,1,14,16,5,0,2,5,7.23
FC Barcelona,5,184,2,0,6,8,3,1,0,4,7.18
Real Madrid,10,747,2,0,12,11,18,1,3,7,7.16
Olympique de Marseille,5,419,7,0,8,18,6,2,5,1,7.14
Tottenham Hotspur,8,624,10,1,20,29,11,2,1,7,7.13
Real Madrid,12,975,10,1,40,85,18,4,13,47,7.11
FC Viktoria Plzeň,1,45,0,0,1,1,0,0,0,0,7.1
SSC Napoli,7,276,3,0,4,8,4,1,1,1,7.07
Manchester City,10,477,5,2,10,10,9,2,4,3,7.07
Borussia Dortmund,7,477,7,2,24,19,8,2,6,10,7.07
RB Leipzig,8,534,6,1,14,18,6,1,2,6,7.06
Inter,13,831,4,0,16,29,9,2,16,11,7.05
Maccabi Haifa,6,309,7,3,10,14,10,1,2,3,7.05
SSC Napoli,9,699,12,2,33,55,17,3,11,35,7.04
RB Leipzig,7,562,6,4,21,20,11,3,4,8,7.04
Milan,11,913,3,3,27,59,17,5,11,39,7.03
Chelsea,10,619,6,1,31,25,12,3,5,12,7.02
Sporting CP,6,357,3,1,16,18,6,2,2,10,7.02
Maccabi Haifa,6,540,2,1,27,8,10,2,6,4,7.02
Benfica,10,719,11,1,9,26,5,1,1,5,7.01
Inter,13,1002,16,9,35,44,18,2,10,10,7.0
Tottenham Hotspur,6,366,3,2,21,15,8,1,1,3,7.0
Milan,12,940,7,2,17,15,9,2,2,0,6.99
Club Brugge KV,8,514,2,0,14,14,4,2,3,8,6.99
Tottenham Hotspur,8,720,1,2,21,23,9,3,18,8,6.99
Club Brugge KV,4,292,7,0,10,32,3,0,6,19,6.98
Inter,8,181,3,0,8,9,6,2,1,5,6.96
Benfica,5,130,0,1,5,2,1,1,0,2,6.96
Sporting CP,5,235,3,0,11,13,2,1,9,1,6.96
Chelsea,6,408,0,0,9,2,6,0,0,0,6.95
Eintracht Frankfurt,5,69,4,1,4,7,3,0,0,2,6.95
Liverpool FC,6,263,3,0,11,10,12,1,2,2,6.95
SSC Napoli,9,464,10,2,26,28,8,3,3,11,6.94
Chelsea,9,444,13,4,31,25,12,1,10,5,6.94
Liverpool FC,8,401,3,1,15,8,1,0,2,3,6.93
Benfica,9,448,11,1,24,30,7,3,5,11,6.87
Juventus,5,339,2,1,10,8,6,1,3,1,6.84
AFC Ajax,3,28,0,0,3,3,0,0,1,0,6.83
Club Brugge KV,4,58,0,0,0,7,1,0,0,4,6.83
AFC Ajax,5,433,6,0,27,17,10,1,1,5,6.82
FC Porto,8,518,4,1,23,21,6,1,1,2,6.81
Sevilla,4,248,3,2,4,4,1,0,0,0,6.8
Red Bull Salzburg,6,204,9,1,13,11,2,0,0,1,6.8
Real Madrid,3,131,0,1,5,4,5,1,1,2,6.8
Juventus,1,16,0,0,1,0,1,0,1,0,6.8
Chelsea,9,470,4,0,26,34,6,0,5,15,6.79
RB Leipzig,8,504,2,0,13,8,8,2,3,4,6.79
Red Bull Salzburg,6,470,4,0,11,15,6,0,0,7,6.78
GNK Dinamo Zagreb,6,494,8,2,16,29,9,2,17,3,6.78
Olympique de Marseille,6,172,3,1,6,5,6,2,9,2,6.78
Shakhtar Donetsk,6,244,0,0,3,5,2,2,0,1,6.78
FC Viktoria Plzeň,6,364,3,1,5,10,2,0,0,0,6.77
Sevilla,3,155,0,0,3,1,0,0,0,0,6.77
Bayer 04 Leverkusen,6,275,2,0,8,10,6,1,2,1,6.76
FC Porto,8,689,14,5,52,38,9,2,10,12,6.75
FC København,2,108,1,0,2,4,1,1,1,0,6.75
Atlético Madrid,5,117,2,1,5,9,4,1,0,4,6.74
Atlético Madrid,6,303,7,1,14,15,5,0,2,8,6.73
Chelsea,9,638,8,0,21,19,7,1,1,4,6.71
Borussia Dortmund,6,379,1,2,21,17,7,2,2,10,6.7
GNK Dinamo Zagreb,6,163,2,4,14,13,1,1,5,6,6.7
AFC Ajax,5,116,0,0,0,3,2,2,1,0,6.7
Inter,9,305,2,0,12,14,5,2,1,8,6.69
Maccabi Haifa,6,485,3,1,11,10,8,1,1,1,6.68
Juventus,5,107,1,0,3,4,0,0,2,2,6.68
Celtic,6,244,4,4,13,9,4,1,0,1,6.67
Juventus,5,413,1,0,10,5,1,1,2,0,6.66
FC Porto,3,59,2,0,5,5,0,0,0,3,6.65
Borussia Dortmund,2,145,0,0,4,3,1,0,1,1,6.65
Borussia Dortmund,6,241,2,0,8,6,4,1,0,2,6.64
Maccabi Haifa,6,53,0,0,4,2,1,0,0,2,6.64
Olympique de Marseille,4,118,1,0,2,5,3,0,0,0,6.63
Milan,8,144,0,0,8,4,1,1,1,2,6.63
FC Bayern München,5,140,1,3,7,2,2,0,0,0,6.62
FC Viktoria Plzeň,6,462,5,2,35,19,7,1,2,5,6.62
Maccabi Haifa,6,237,3,0,10,11,1,0,2,7,6.62
Eintracht Frankfurt,6,294,9,6,24,19,3,0,1,8,6.62
Bayer 04 Leverkusen,5,448,2,1,12,9,2,0,1,4,6.6
Red Bull Salzburg,6,328,3,0,14,9,3,0,0,3,6.6
Juventus,3,46,0,0,3,6,1,0,1,3,6.6
Liverpool FC,4,123,2,0,9,5,3,0,1,2,6.6
GNK Dinamo Zagreb,1,21,0,0,2,0,1,0,0,0,6.6
Sporting CP,1,12,0,0,2,0,0,0,0,0,6.6
Bayer 04 Leverkusen,2,9,0,0,0,1,1,0,0,1,6.6
Milan,9,311,8,3,16,13,5,0,3,3,6.59
Eintracht Frankfurt,7,521,4,2,18,17,3,0,0,6,6.59
FC Porto,7,107,7,0,5,9,2,0,0,1,6.58
Sevilla,4,107,0,1,3,4,2,0,1,3,6.58
FC København,6,447,2,4,16,19,7,2,0,12,6.57
Borussia Dortmund,7,338,2,0,7,6,1,0,1,0,6.56
Chelsea,5,129,2,2,7,6,5,1,2,1,6.54
Atlético Madrid,5,297,0,0,6,5,3,0,5,0,6.54
Celtic,6,361,2,0,5,5,2,1,0,1,6.53
Atlético Madrid,6,283,2,0,8,10,6,0,0,4,6.53
Tottenham Hotspur,3,179,3,0,6,6,3,0,1,2,6.53
Bayer 04 Leverkusen,4,118,3,0,10,5,2,0,1,1,6.53
Eintracht Frankfurt,8,221,2,0,11,9,3,1,1,1,6.53
RB Leipzig,5,67,1,0,3,1,0,0,0,0,6.52
Celtic,6,333,7,7,12,11,4,1,0,2,6.52
FC Viktoria Plzeň,5,131,0,0,3,0,2,0,2,0,6.5
Red Bull Salzburg,2,23,0,0,0,0,0,0,1,0,6.5
Real Madrid,1,10,0,0,0,0,0,0,0,0,6.5
Tottenham Hotspur,1,9,0,0,0,0,0,0,0,0,6.5
Red Bull Salzburg,2,21,0,0,1,0,0,0,0,0,6.5
Borussia Dortmund,6,245,1,2,11,8,2,0,0,4,6.45
Bayer 04 Leverkusen,2,46,2,0,2,5,1,0,0,3,6.45
FC Porto,4,42,1,0,3,4,0,0,1,2,6.45
GNK Dinamo Zagreb,6,95,0,0,1,0,2,0,0,0,6.44
FC Porto,3,56,1,0,3,1,0,0,0,0,6.43
Shakhtar Donetsk,4,100,0,0,7,1,2,0,0,0,6.43
Paris Saint-Germain,4,58,1,0,4,1,0,0,0,0,6.43
Rangers,5,257,1,1,3,10,1,0,4,0,6.4
FC Viktoria Plzeň,5,127,2,0,5,6,0,0,2,2,6.4
Chelsea,5,111,2,0,3,3,1,1,0,1,6.4
Rangers,5,98,1,2,4,4,0,0,0,1,6.4
FC Barcelona,1,15,0,0,0,1,0,0,1,1,6.4
Club Brugge KV,1,11,0,0,0,0,0,0,0,0,6.4
GNK Dinamo Zagreb,1,10,0,0,2,0,0,0,0,0,6.4
FC København,2,20,0,0,1,0,0,0,0,0,6.4
Eintracht Frankfurt,2,25,0,0,0,0,0,0,0,0,6.4
Benfica,2,14,0,0,0,1,0,0,0,0,6.4
FC Barcelona,6,239,1,0,6,3,1,0,2,2,6.38
Club Brugge KV,4,110,1,0,4,3,1,0,1,2,6.33
Rangers,6,283,0,1,7,3,0,0,1,0,6.33
Milan,6,234,2,3,12,4,0,0,3,1,6.28
FC København,2,97,0,0,7,2,0,0,0,2,6.25
Maccabi Haifa,4,96,2,0,6,5,1,0,1,1,6.23
FC København,1,45,0,0,0,0,0,0,0,0,6.2
Benfica,1,1,0,0,0,0,0,0,0,0,0.0
