name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,firstName,lastName,averageX,averageY,pointsCount,team,match
Ross Barkley,ross-barkley,R. Barkley,M,6,2620,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'bn': 'রস বার্কলে', 'hi': 'रॉस बार्कले'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'bn': 'আর. বার্কলে', 'hi': 'आर. बार्कले'}}",,,,48.58,51.96,10,Aston Villa,1746271800_aston_villa_vs_fulham
Lucas Digne,lucas-digne,L. Digne,D,12,4896,M,96538,"{'nameTranslation': {'ar': 'لوكاس دينييه', 'bn': 'লুকাস ডিগনে', 'hi': 'लुकास डिग्ने'}, 'shortNameTranslation': {'ar': 'ل. دينييه', 'bn': 'এল. ডিগনে', 'hi': 'एल. डिग्ने'}}",LDigne,,,26.794444444444,74.672222222222,18,Aston Villa,1746271800_aston_villa_vs_fulham
Ollie Watkins,ollie-watkins,O. Watkins,F,11,20854,M,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'bn': 'অলি ওয়াটকিন্স', 'hi': 'ओली वॉटकिंस'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'bn': 'ও. ওয়াটকিন্স', 'hi': 'ओ. वॉटकिंस'}}",OllieWatkins,Ollie,Watkins,65.572727272727,60.177272727273,22,Aston Villa,1746271800_aston_villa_vs_fulham
Donyell Malen,donyell-malen,D. Malen,F,14,16980,M,803039,"{'nameTranslation': {'ar': 'دونيل مالين', 'bn': 'ডনিয়েল ম্যালেন', 'hi': 'डोनियेल मालेन'}, 'shortNameTranslation': {'ar': 'د. مالين', 'bn': 'ডি. ম্যালেন', 'hi': 'डी. मालेन'}}",donyellmalen,Donyell,Malen,70.290909090909,55.309090909091,11,Aston Villa,1746271800_aston_villa_vs_fulham
Marco Asensio,marco-asensio,M. Asensio,M,21,33432,M,361004,"{'nameTranslation': {'ar': 'ماركو أسينسيو', 'bn': 'মার্কো অ্যাসেনসিও', 'hi': 'मार्को असेंसियो'}, 'shortNameTranslation': {'ar': 'م. أسينسيو', 'bn': 'এম. অ্যাসেনসিও', 'hi': 'एम. असेंसियो'}}",marcoasensio10,Marco,Asensio,64.957142857143,46.860714285714,28,Aston Villa,1746271800_aston_villa_vs_fulham
Amadou Onana,amadou-onana,A. Onana,M,24,8056,M,923973,"{'nameTranslation': {'ar': 'أمادو أونانا', 'bn': 'আমাদৌ ওনানা', 'hi': 'अमादौ ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",its_onana,,,44.162068965517,55.11724137931,29,Aston Villa,1746271800_aston_villa_vs_fulham
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,3503,M,826204,"{'nameTranslation': {'ar': 'بوبكر كامارا', 'bn': 'বউবকার কামারা', 'hi': 'बौबाकर कामारा'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'bn': 'বি.কামারা', 'hi': 'बी. कामारा'}}",,Boubacar,Kamara,46.340776699029,34.416504854369,103,Aston Villa,1746271800_aston_villa_vs_fulham
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,3498,M,975937,"{'nameTranslation': {'ar': 'جاكوب رامزي', 'bn': 'জ্যাকব রামসে', 'hi': 'जैकब रैमसे'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'bn': 'জে. রামসে', 'hi': 'जे. रैमसे'}}",,Jacob,Ramsey,57.529411764706,69.5,17,Aston Villa,1746271800_aston_villa_vs_fulham
Matty Cash,matty-cash,M. Cash,D,2,9807,M,833956,"{'nameTranslation': {'ar': 'ماتي كاش', 'bn': 'ম্যাটি ক্যাশ', 'hi': 'मैटी कैश'}, 'shortNameTranslation': {'ar': 'م. كاش', 'bn': 'এম. ক্যাশ', 'hi': 'एम. कैश'}}",mattycash622,Matty,Cash,50.335593220339,13.5,59,Aston Villa,1746271800_aston_villa_vs_fulham
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,5637,M,976263,"{'nameTranslation': {'ar': 'إيان ماتسين', 'bn': 'ইয়ান মাতসেন', 'hi': 'इयान मात्सेन'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'bn': 'আই. মাতসেন', 'hi': 'आई. मात्सेन'}}",maatsen_,,,41.023728813559,83.138983050847,59,Aston Villa,1746271800_aston_villa_vs_fulham
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,62117,M,158263,"{'nameTranslation': {'ar': 'إيميليانو مارتينيز', 'bn': 'এমিলিয়ানো মার্টিনেজ', 'hi': 'एमिलियानो मार्टिनेज'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'bn': 'ই. মার্টিনেজ', 'hi': 'ई. मार्टिनेज'}}",EmiMartínez,,,14.747169811321,48.988679245283,53,Aston Villa,1746271800_aston_villa_vs_fulham
Pau Torres,pau-torres,P. Torres,D,14,4241,M,864169,"{'nameTranslation': {'ar': 'باو توريس', 'bn': 'পাউ টরেস', 'hi': 'पाऊ टोरेस'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'bn': 'পি. টরেস', 'hi': 'पी. टोरेस'}}",pauttorres,Pau,Torres,33.566666666667,70.301515151515,66,Aston Villa,1746271800_aston_villa_vs_fulham
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,10161,M,331737,"{'nameTranslation': {'ar': 'يوري تيليمانس', 'bn': 'ইউরি টাইলেম্যানস', 'hi': 'यूरी टिएलमान्स'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'bn': 'ওয়াই. টাইলেম্যানস', 'hi': 'वाई. टिएलमान्स'}}",youritielemans,Youri,Tielemans,52.311392405063,56.124050632911,79,Aston Villa,1746271800_aston_villa_vs_fulham
John McGinn,john-mcginn,J. McGinn,M,7,4367,M,250223,"{'nameTranslation': {'ar': 'جون ماكجين', 'bn': 'জন ম্যাকগিন', 'hi': 'जॉन मैकगिन'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'bn': 'জে. ম্যাকগিন', 'hi': 'जे. मैकगिन'}}",,John,McGinn,57.925531914894,56.644680851064,47,Aston Villa,1746271800_aston_villa_vs_fulham
Ezri Konsa,ezri-konsa,E. Konsa,D,4,3572,M,827679,"{'nameTranslation': {'ar': 'إزري كونسا', 'bn': 'ইজরি কনসা', 'hi': 'एज़री कोंसा'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'bn': 'ই. কনসা', 'hi': 'ई. कोंसा'}}",,,,34.239473684211,36.151315789474,76,Aston Villa,1746271800_aston_villa_vs_fulham
Morgan Rogers,morgan-rogers,M. Rogers,M,27,15039,M,948261,"{'nameTranslation': {'ar': 'مورغان روجرز', 'bn': 'মরগান রজার্স', 'hi': 'मॉर्गन रोजर्स'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'bn': 'এম. রজার্স', 'hi': 'एम. रोजर्स'}}",mrogers,,,58.334545454545,38.038181818182,55,Aston Villa,1746271800_aston_villa_vs_fulham
Willian,willian,Willian,M,10,9887,M,31417,"{'nameTranslation': {'ar': 'ويليان', 'bn': 'উইলিয়ান', 'hi': 'विलियन'}, 'shortNameTranslation': {'ar': 'ويليان', 'bn': 'উইলিয়ান', 'hi': 'विलियन'}}",willianborges88,,,61.158333333333,76.033333333333,12,Fulham,1746271800_aston_villa_vs_fulham
Timothy Castagne,timothy-castagne,T. Castagne,D,21,2381,M,329417,"{'nameTranslation': {'ar': 'تيموثي كاستاني', 'bn': 'টিমোথি কাস্টেন', 'hi': 'टिमोथी कास्टेग्ने'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'bn': 'টি. কাস্টেন', 'hi': 'टी. कास्टेग्ने'}}",,Timothy,Castagne,47.133333333333,19.594444444444,18,Fulham,1746271800_aston_villa_vs_fulham
Adama Traoré,adama-traore,A. Traoré,F,17,13109,M,286165,"{'nameTranslation': {'ar': 'أداما تراوري', 'bn': 'আদামা ট্রাওরে', 'hi': 'एडाम ट्राओरे'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'bn': 'এ. ট্রাওরে', 'hi': 'ए. ट्राओरे'}}",adamatrd,,,72.405555555556,28.477777777778,18,Fulham,1746271800_aston_villa_vs_fulham
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,7369,M,867445,"{'nameTranslation': {'ar': 'إيميل سميث رو', 'bn': 'এমিল স্মিথ রো', 'hi': 'एमिल स्मिथ रोवे'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'bn': 'ই. স্মিথ রো', 'hi': 'ई. स्मिथ'}}",esr,Emile,Smith Rowe,56.735294117647,53.247058823529,17,Fulham,1746271800_aston_villa_vs_fulham
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,8555,M,352770,"{'nameTranslation': {'ar': 'أليكس إيووبي', 'bn': 'অ্যালেক্স ইওবি', 'hi': 'एलेक्स इवोबी'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'bn': 'এ. ইওবি', 'hi': 'ए. इवोबी'}}",alexanderiwobi,Alex,Iwobi,61.74,71.89,40,Fulham,1746271800_aston_villa_vs_fulham
Bernd Leno,bernd-leno,B. Leno,G,1,2708,M,103335,"{'nameTranslation': {'ar': 'بيرند لينو', 'bn': 'বার্ন্ড লেনো', 'hi': 'बर्न्ड लेनो'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'bn': 'বি. লেনো', 'hi': 'बी. लेनो'}}",,Bernd,Leno,10.85306122449,49.281632653061,49,Fulham,1746271800_aston_villa_vs_fulham
Harry Wilson,harry-wilson,H. Wilson,M,8,5583,M,355528,"{'nameTranslation': {'ar': 'هاري ويلسون', 'bn': 'হ্যারি উইলসন', 'hi': 'हैरी विल्सन'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'bn': 'এইচ. উইলসন', 'hi': 'एच. विल्सन'}}",,Harry,Wilson,63.210256410256,26.694871794872,39,Fulham,1746271800_aston_villa_vs_fulham
Saša Lukić,sasa-lukic,S. Lukić,M,20,2159,M,371222,"{'nameTranslation': {'ar': 'ساشا لوكيتش', 'bn': 'সাসা লুকিচ', 'hi': 'साशा लुकीच'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'bn': 'এস. লুকিচ', 'hi': 'एस. लुकीच'}}",,,,47.498630136986,61.987671232877,73,Fulham,1746271800_aston_villa_vs_fulham
Ryan Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,1921,M,836698,"{'nameTranslation': {'ar': 'ريان سيسينيون', 'bn': 'রায়ান সেসেগনন', 'hi': 'रयान सेसेग्नन'}, 'shortNameTranslation': {'ar': 'ر. سيسينيون', 'bn': 'আর. সেসেগনন', 'hi': 'आर. सेसेग्नन'}}",,Ryan,Sessegnon,59.413333333333,26.084444444444,45,Fulham,1746271800_aston_villa_vs_fulham
Kenny Tete,kenny-tete,K. Tete,D,2,1179,M,190877,"{'nameTranslation': {'ar': 'كيني تيتي', 'bn': 'কেনি টেটে', 'hi': 'केनी टेटे'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'bn': 'কে. টেটে', 'hi': 'के. टेटे'}}",,Kenny,Tete,45.527659574468,15.43829787234,47,Fulham,1746271800_aston_villa_vs_fulham
Joachim Andersen,joachim-andersen,J. Andersen,D,5,2506,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'bn': 'জোয়াকিম অ্যান্ডারসেন', 'hi': 'जोआचिम एंडरसन'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'bn': 'জে. অ্যান্ডারসেন', 'hi': 'जे. एंडरसन'}}",,Joachim,Andersen,38.976712328767,35.682191780822,73,Fulham,1746271800_aston_villa_vs_fulham
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,19495,M,192442,"{'nameTranslation': {'ar': 'راؤول خيمينيز', 'bn': 'রাউল জিমেনেজ', 'hi': 'राउल जिमेनेज़'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'bn': 'আর. জিমেনেজ', 'hi': 'आर. जिमेनेज़'}}",RJimenez9,,,60.691935483871,48.896774193548,62,Fulham,1746271800_aston_villa_vs_fulham
Harrison Reed,harrison-reed,H. Reed,M,6,396,M,365802,"{'nameTranslation': {'ar': 'هاريسون ريد', 'bn': 'হ্যারিসন রিড', 'hi': 'हैरिसन रीड'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'bn': 'এইচ. রিড', 'hi': 'एच. रीड'}}",,Harrison,Reed,73.2,89.9,1,Fulham,1746271800_aston_villa_vs_fulham
Calvin Bassey,calvin-bassey,C. Bassey,D,3,8670,M,861972,"{'nameTranslation': {'ar': 'كالفين باسي', 'bn': 'ক্যালভিন বাসসি', 'hi': 'केल्विन बैसी'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'bn': 'সি. বাসসি', 'hi': 'सी. बैसी'}}",,Calvin,Bassey,38.215,70.8025,80,Fulham,1746271800_aston_villa_vs_fulham
Antonee Robinson,antonee-robinson,A. Robinson,D,33,2979,M,803174,"{'nameTranslation': {'ar': 'أنتوني روبنسون', 'bn': 'অ্যান্টনি রবিনসন', 'hi': 'एंटोनी रॉबिन्सन'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'bn': 'এ. রবিনসন', 'hi': 'ए. रॉबिन्सन'}}",,Antonee,Robinson,47.879012345679,82.727160493827,81,Fulham,1746271800_aston_villa_vs_fulham
Sander Berge,sander-berge,S. Berge,M,16,2195,M,793167,"{'nameTranslation': {'ar': 'ساندر بيرج', 'bn': 'স্যান্ডার বার্জে', 'hi': 'सैंडर बर्ज'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'bn': 'এস. বার্জে', 'hi': 'एस. बर्ज'}}",,Sander,Berge,46.122727272727,51.286363636364,44,Fulham,1746271800_aston_villa_vs_fulham
